Direction,Date,US Port,HS Code 2 Digit,Ship Line Name,Vessel Name,TEUS
I,12/1/17,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,PELAGIC EXPRESS,17.99
I,12/1/17,PT EVERGLADES,94,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2.61
I,12/1/17,PT EVERGLADES,76,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2
I,12/1/17,PT EVERGLADES,25,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,7
I,12/1/17,PT EVERGLADES,89,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2
I,12/1/17,PT EVERGLADES,,CROWLEY LINER SERVICES,REGULA,1.17
I,12/1/17,PT EVERGLADES,,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,1
I,12/1/17,PT EVERGLADES,39,CROWLEY LINER SERVICES,DENEB J,4.5
I,12/1/17,PT EVERGLADES,73,CROWLEY LINER SERVICES,REGULA,3
I,12/1/17,PT EVERGLADES,73,KING OCEAN SERVICES,HOHEBANK,2
I,12/1/17,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,SEA EXPRESS II,1
I,12/1/17,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,CAPE EXPRESS,0
I,12/1/17,PT EVERGLADES,8,CROWLEY LINER SERVICES,DENEB J,4
I,12/1/17,PT EVERGLADES,27,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,0.95
I,12/1/17,PT EVERGLADES,62,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,6.58
I,12/1/17,PT EVERGLADES,63,CROWLEY LINER SERVICES,DENEB J,4.5
I,12/1/17,PT EVERGLADES,95,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2
I,12/1/17,PT EVERGLADES,,GREAT WHITE FLEET LTD,MSC ZEBRA,2.91
I,12/1/17,PT EVERGLADES,20,CROWLEY LINER SERVICES,DENEB J,4
I,12/1/17,PT EVERGLADES,85,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,1
I,12/1/17,PT EVERGLADES,9,CROWLEY LINER SERVICES,REGULA,0.03
I,12/1/17,PT EVERGLADES,86,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,0
I,12/1/17,PT EVERGLADES,73,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,1.75
I,12/1/17,PT EVERGLADES,83,CROWLEY LINER SERVICES,REGULA,0.17
I,12/1/17,PT EVERGLADES,85,SEACOR ISLAND LINES LLC,PELAGIC EXPRESS,2
I,12/1/17,PT EVERGLADES,6,GREAT WHITE FLEET LTD,MSC ZEBRA,0.58
I,12/1/17,PT EVERGLADES,8,CROWLEY LINER SERVICES,REGULA,4
I,12/1/17,PT EVERGLADES,27,SEACOR ISLAND LINES LLC,SEA EXPRESS II,1
I,12/1/17,PT EVERGLADES,6,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,1
I,12/1/17,PT EVERGLADES,30,CROWLEY LINER SERVICES,REGULA,0.17
I,12/1/17,PT EVERGLADES,32,CROWLEY LINER SERVICES,REGULA,0.34
I,12/1/17,PT EVERGLADES,48,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,3.39
I,12/1/17,PT EVERGLADES,3,CROWLEY LINER SERVICES,REGULA,1
I,12/1/17,PT EVERGLADES,33,CROWLEY LINER SERVICES,REGULA,2
I,12/1/17,PT EVERGLADES,48,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,1.95
I,12/1/17,PT EVERGLADES,86,GREAT WHITE FLEET LTD,MSC ZEBRA,36.15
I,12/1/17,PT EVERGLADES,8,GREAT WHITE FLEET LTD,MSC ZEBRA,341.5
I,12/1/17,PT EVERGLADES,39,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2
I,12/1/17,PT EVERGLADES,84,CROWLEY LINER SERVICES,REGULA,0.34
I,12/1/17,PT EVERGLADES,84,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,9
I,12/1/17,PT EVERGLADES,87,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,1.75
I,12/1/17,PT EVERGLADES,,SEACOR ISLAND LINES LLC,SEA EXPRESS II,1
I,12/1/17,PT EVERGLADES,3,GREAT WHITE FLEET LTD,MSC ZEBRA,7.01
I,12/1/17,PT EVERGLADES,7,CROWLEY LINER SERVICES,REGULA,17.98
I,12/1/17,PT EVERGLADES,20,GREAT WHITE FLEET LTD,MSC ZEBRA,5.25
I,12/1/17,PT EVERGLADES,61,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,2.42
I,12/1/17,PT EVERGLADES,3,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,5
I,12/1/17,PT EVERGLADES,22,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,6
I,12/1/17,PT EVERGLADES,22,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,0.06
I,12/1/17,PT EVERGLADES,94,CROWLEY LINER SERVICES,REGULA,0.34
I,12/1/17,PT EVERGLADES,40,CROWLEY LINER SERVICES,REGULA,0.34
I,12/1/17,PT EVERGLADES,20,MEDITERRANEAN SHIPPING COMPANY,MSC ZEBRA,0.05
I,12/1/17,PT EVERGLADES,7,GREAT WHITE FLEET LTD,MSC ZEBRA,5.25
I,12/1/17,PT EVERGLADES,44,GREAT WHITE FLEET LTD,MSC ZEBRA,10.5
I,12/1/17,PT EVERGLADES,61,CROWLEY LINER SERVICES,DENEB J,13.5
I,12/1/17,PT EVERGLADES,19,CROWLEY LINER SERVICES,REGULA,0.17
I,12/1/17,PT EVERGLADES,7,MEDITERRANEAN SHIPPING COMPANY,JSP AMIHAN,2
I,12/1/17,PT EVERGLADES,69,GREAT WHITE FLEET LTD,MSC ZEBRA,1.75
I,12/1/17,PT EVERGLADES,86,SEACOR ISLAND LINES LLC,EMERALD EXPRESS,2
I,12/1/17,PT EVERGLADES,94,GREAT WHITE FLEET LTD,MSC ZEBRA,0.6
I,12/2/17,PT EVERGLADES,19,MEDITERRANEAN SHIPPING COMPANY,MSC MAUREEN,2
