Visit #,Start Time,End Time,Ship,Length Of Stay,Ship Type,Cargo Type Name,Visit Shipping Line Name,Stevedore,GT,LOA,Arrival Berth Name,Arrival Berth Code,Departure Berth Name,Departure Berth Code
PEV-18-001099,3/30/18 17:55,4/1/18 7:35,BRENTON REEF,1d14h,TANKER,PETROLEUM,Seabulk Tankers LTD.,"TransMontaigne Product Services, Inc.",30770,619.7809,7,7,7,7
PEV-18-000827,3/30/18 18:15,4/5/18 18:00,HANDY PERTH,5d24h,BULK CARRIER,CEMENT,EMIRATES BULK CARRIERS,Lehigh Cement,23495,590.58,14,14,14,14
PEV-18-001154,3/30/18 19:50,4/1/18 11:10,GOLDEN STATE,1d15h,TANKER,PETROLEUM,"Crowley Petroleum Transport, Inc.",Valero Marketing & Supply Co.,29527,600.423,13,13,13,13
PEV-18-001220,3/31/18 7:50,4/1/18 8:45,PAVO J,1d1h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33A,33A,33A,33A
PEV-18-001221,3/31/18 9:15,4/1/18 18:55,PEGASUS J,1d10h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8273,458.0276,33C,33C,33A,33A
PEV-18-001219,3/31/18 19:00,4/1/18 1:05,DOLE ECUADOR,6h,CONTAINER SHIP,CONTAINER,Dole Fresh Fruit International LTD.,"Sun Terminals, Inc.",16488,586.8069,31,31,31,31
PEV-18-001108,3/31/18 19:45,4/1/18 17:00,MONTE AZUL,21h,CONTAINER SHIP,CONTAINER,Hamburg-Sud,"Florida International Terminal, LLC",69132,892.596,30,30,30,30
PEV-18-001168,3/31/18 21:05,4/1/18 23:35,BARGE PETROCHEM TRADER,1d3h,TANK BARGE,ETHANOL,USS Vessel Management LLC,"TransMontaigne Product Services, Inc.",10884,521.7446,9,9,9,9
PEV-18-001169,3/31/18 21:05,4/1/18 23:35,TUG BROWNSVILLE,1d3h,TUG,ETHANOL,USS Vessel Management LLC,"TransMontaigne Product Services, Inc.",1348,150.0467,9,9,9,9
PEV-18-000721,3/31/18 21:50,4/1/18 8:10,JAUME I,10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001092,3/31/18 23:30,4/1/18 22:10,MSC KWANGYANG,23h,CONTAINER SHIP,CONTAINER,MSC Container Mediterranean Shipping,"Florida Stevedoring, Inc.",74962,997.424,32,32,32,32
PEV-18-001010,4/1/18 5:55,4/1/18 16:35,ALLURE OF THE SEAS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Royal Caribbean Cruise, LTD.",Eller-I.T.O. Stevedoring Company L.L.C.,225282,1181.16,18,18,18,18
PEV-18-001024,4/1/18 6:15,4/1/18 16:15,REGAL PRINCESS,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",142714,1082.73,2,2,2,2
PEV-18-001018,4/1/18 6:55,4/1/18 16:25,CELEBRITY SILHOUETTE,10h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,122210,1033.515,29,29,29,29
PEV-18-001021,4/1/18 7:00,4/1/18 16:10,EURODAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,Holland America Line,"Florida Stevedoring, Inc.",86273,936.4958,26,26,26,26
PEV-18-001015,4/1/18 7:15,4/1/18 18:30,CARIBBEAN PRINCESS,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Princess Cruises, Inc.","Florida Stevedoring, Inc.",112894,950.0464,19,19,19,19
PEV-18-001027,4/1/18 7:30,4/1/18 16:00,ZUIDERDAM,9h,PASSENGER SHIP,CRUISE - MULTI-DAY,"Holland America Line-Westours, Inc.","Florida Stevedoring, Inc.",82305,936.463,21,21,21,21
PEV-18-001223,4/1/18 10:15,4/2/18 13:05,REGULA,1d3h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",7219,435.3887,33B,33B,33A,33A
PEV-18-001129,4/1/18 10:50,4/2/18 11:30,BARGE 750-2,1d1h,"TANK BARGE, PUSHED",GASOLINE,Nordsud Shipping,"Marathon Petroleum Company, LLC",25239,600.0293,7,7,7,7
PEV-18-001130,4/1/18 10:50,4/2/18 11:30,TUG LEGEND,1d1h,TUG,GASOLINE,Nordsud Shipping,"Marathon Petroleum Company, LLC",2164,147.645,7,7,7,7
PEV-18-001106,4/1/18 12:45,4/2/18 20:10,SEABULK ARCTIC,1d7h,TANKER,PETROLEUM,Seabulk Tanker Co.,Citgo Petroleum Corporation,30415,600.423,13,13,13,13
PEV-18-001222,4/1/18 13:30,4/2/18 3:35,K-BREEZE,14h,CONTAINER SHIP,CONTAINER,"Crowley Liner Services, Inc.","Crowley Liner Services, Inc.",8246,458.0276,33C,33C,33A,33A
PEV-18-001218,4/1/18 13:45,4/1/18 20:20,AGENA,7h,GENERAL CARGO,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",2528,284.0034,31,31,31,31
PEV-18-001184,4/1/18 19:10,4/2/18 6:10,ST LOUIS EXPRESS,11h,CONTAINER SHIP,CONTAINER,Hapag Lloyd,"Florida International Terminal, LLC",40146,798.4313,30,30,30,30
PEV-18-000955,4/1/18 21:50,4/3/18 8:10,JAUME I,1d10h,PASSENGER/FERRY,CRUISE - DAILY,"Balearia Caribbean Ltd., Corp.","Host Terminals, LLC",3989,254.1463,1,1,1,1
PEV-18-001240,4/1/18 23:40,4/2/18 8:35,GREEN FAST,9h,CONTAINER SHIP,CONTAINER,King Ocean Services Limited (Cayman Islands) Incorporated,"Sun Terminals, Inc.",5522,386.8627,31,31,31,31
PEV-18-001193,4/2/18 1:25,4/3/18 3:10,TUG BARBARA E. BOUCHARD,1d2h,TUG,GASOLINE,Bouchard Transportation.,"TransMontaigne Product Services, Inc.",199,121.0033,9,9,9,9
PEV-18-001192,4/2/18 1:25,4/3/18 3:10,BARGE BOUCHARD 240,1d2h,BARGE CARRIER,GASOLINE,Bouchard Transportation.,"TransMontaigne Product Services, Inc.",9242,446,9,9,9,9
PEV-18-001031,4/2/18 5:25,4/2/18 16:40,CELEBRITY REFLECTION,11h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,125366,1046.639,29,29,29,29
PEV-18-001033,4/2/18 5:30,4/2/18 22:05,CELEBRITY SUMMIT,17h,PASSENGER SHIP,CRUISE - MULTI-DAY,Celebrity Cruises,Eller-I.T.O. Stevedoring Company L.L.C.,90940,964.614,19,19,19,19
